Time,Velx1,Vely1,Velx2,Vely2,Velx3,Vely3
9.898223,0.03029403,0.3710386,0.02945727,0.3465135,0.03221046,0.4150726
9.998209,0.03082963,0.374004,0.02973058,0.3498885,0.03334578,0.4171024
10.09848,0.03137208,0.3769011,0.0300433,0.3531346,0.03440094,0.4192045
10.19931,0.03193636,0.3798084,0.03039145,0.3564072,0.03547135,0.4213044
10.29673,0.03246719,0.3826153,0.0307493,0.35958,0.03639442,0.4232818
10.39788,0.03300058,0.385469,0.0311669,0.3627769,0.03717497,0.4253567
10.4989,0.03352109,0.3883725,0.03161098,0.3660244,0.03783994,0.4274077
10.59626,0.03397494,0.3911519,0.03203731,0.3691044,0.03838079,0.4294555
10.69756,0.03444995,0.3940201,0.032523,0.3723023,0.03890595,0.4315294
10.7988,0.03493377,0.3968763,0.03304736,0.3754667,0.03933952,0.4336123
10.89629,0.03539551,0.3996616,0.03355732,0.3785313,0.03968199,0.4357796
10.99751,0.03584886,0.4025165,0.03408277,0.3816724,0.03997327,0.4379171
11.09869,0.03626167,0.4053509,0.03459371,0.3847761,0.04022911,0.44003
11.19983,0.03668996,0.4081348,0.03515309,0.3878364,0.04047182,0.4419702
11.29724,0.03711089,0.4108919,0.03570571,0.3908848,0.04063075,0.4439686
11.39847,0.03754177,0.4137539,0.03628699,0.3940449,0.04078445,0.4460765
11.49965,0.03794114,0.4165884,0.03685408,0.3971271,0.04089864,0.4482738
11.59716,0.03831505,0.4192856,0.03739795,0.4000453,0.04099428,0.4502971
11.69827,0.0386684,0.4221858,0.03791383,0.4032134,0.04103926,0.4524558
11.7994,0.03900527,0.4250199,0.03839747,0.4063017,0.04110731,0.4545909
11.89689,0.03933032,0.4277159,0.03885426,0.4091976,0.04122592,0.4566321
11.99811,0.03965993,0.4305814,0.03931062,0.4122645,0.0413795,0.4589127
12.09931,0.03999243,0.4334457,0.03977491,0.4153138,0.04152304,0.4612078
12.19664,0.04032303,0.4361354,0.04019312,0.4181777,0.04172034,0.4633327
12.29778,0.0406246,0.4389258,0.04058312,0.4211051,0.041926,0.4655633
12.39899,0.04089803,0.4417995,0.04094151,0.4241166,0.04213445,0.4679384
12.49646,0.04116603,0.4445076,0.04124005,0.4269705,0.04238545,0.4701681
12.59763,0.04142697,0.4472089,0.04151651,0.4297085,0.04267433,0.4724108
12.69885,0.04166886,0.4500491,0.04179219,0.4326344,0.04291478,0.4749144
12.79629,0.04190389,0.4527727,0.04204661,0.4354826,0.04313067,0.4772409
12.89744,0.04212167,0.4554798,0.04227399,0.438225,0.04334822,0.4794959
12.99861,0.04231321,0.4583067,0.04249587,0.441128,0.0435057,0.4819311
13.09985,0.04251627,0.4611222,0.04270922,0.4440557,0.04370213,0.4843902
13.19731,0.04269414,0.4637252,0.04289101,0.4466309,0.04386689,0.4865933
13.29853,0.04284382,0.4665631,0.0430683,0.4495506,0.04396861,0.4890105
13.39978,0.04299111,0.4693305,0.04322348,0.4523706,0.04411332,0.4914541
13.49723,0.04311754,0.4719328,0.04336245,0.4548733,0.04420622,0.4937868
13.59838,0.04322125,0.4747962,0.04349677,0.4577887,0.04423333,0.4962842
13.69951,0.04331769,0.477506,0.04361606,0.4604493,0.04427626,0.498685
13.79682,0.04338902,0.4801889,0.04371929,0.4630626,0.04425259,0.5011579
13.89783,0.0434495,0.4830248,0.04384178,0.465894,0.04416935,0.503711
13.99885,0.0435143,0.4856811,0.04396304,0.4683795,0.04408678,0.5061605
14.09631,0.04355036,0.4884514,0.04406455,0.471126,0.04394397,0.5087334
14.19744,0.04359322,0.4912189,0.04418482,0.4738165,0.04378799,0.5112683
14.29861,0.04361033,0.4939253,0.0442818,0.4763871,0.04357221,0.5138282
14.39979,0.04361931,0.4967932,0.04440533,0.4792473,0.04332643,0.5164316
14.49721,0.04363748,0.4993704,0.04451939,0.4816638,0.0430604,0.518744
14.59839,0.04361743,0.5021416,0.04464589,0.4843877,0.04268,0.5213369
14.69957,0.04362077,0.5049055,0.04481033,0.4870831,0.04229644,0.5237888
14.79702,0.04359292,0.5074054,0.04493224,0.4894766,0.04183173,0.525944
14.89819,0.04356626,0.5102456,0.04512276,0.4923165,0.04134213,0.5284843
14.99941,0.04352627,0.5129092,0.04524071,0.4949294,0.04085295,0.530716
15.09688,0.04347058,0.5155352,0.04541472,0.4975771,0.04029135,0.5328705
15.19807,0.04342457,0.5182559,0.04554941,0.5003,0.03981818,0.5351767
15.29932,0.04338189,0.5209323,0.0457171,0.502927,0.03930739,0.5373931
15.39673,0.04334617,0.5235871,0.0458412,0.5056223,0.03890786,0.5396268
15.4979,0.04335338,0.5262329,0.04601613,0.5081209,0.03854549,0.5419697
15.59906,0.04335525,0.5290286,0.04614251,0.5109148,0.03826523,0.5443911
15.69648,0.04340477,0.5315718,0.04630067,0.5133218,0.0380714,0.5467461
15.79766,0.04345031,0.5343705,0.04640646,0.5160579,0.03793946,0.5492977
15.89879,0.04353639,0.5370031,0.04654995,0.518577,0.03789559,0.551708
15.99626,0.04361793,0.5396113,0.04666598,0.5210568,0.03786882,0.5541874
16.09737,0.04372467,0.5422652,0.04680762,0.5236048,0.0378912,0.556671
16.19846,0.04383605,0.5448099,0.04694206,0.5259528,0.03794831,0.5590836
16.29961,0.04394328,0.5474846,0.04706311,0.5284924,0.0380043,0.5616491
16.39706,0.04404308,0.5499005,0.04717564,0.5307,0.03807908,0.5639549
