Time	Vely1	Vely1	Vely1	Vely1	Vely1	Vely1	Vely1	Vely1	Vely1	Vely1	MEAN	STDEV
58.99973	2.49418	2.448561	3.068009	2.657196	2.666882	2.361104	2.035796	2.638913	1.767287	2.103234	2.4241162	0.375448859314288
59.99988	2.551989	2.492815	3.11184	2.700434	2.698657	2.41426	2.088926	2.698316	1.827815	2.147842	2.4732894	0.371351412568323
60.99982	2.605058	2.537868	3.154917	2.742757	2.728486	2.468145	2.141968	2.758655	1.891217	2.196871	2.5225942	0.366064243752924
61.99996	2.655428	2.581802	3.199305	2.785831	2.747702	2.520105	2.192842	2.818619	1.957817	2.243914	2.5703365	0.36044279596853
62.99998	2.703973	2.624027	3.240914	2.829893	2.756703	2.567276	2.24351	2.874422	2.019258	2.294314	2.615429	0.354550283790294
63.99986	2.747431	2.669685	3.282221	2.871274	2.778364	2.616158	2.292096	2.929703	2.076028	2.347822	2.6610782	0.349924698106385
64.9999	2.799897	2.713791	3.321087	2.904498	2.778683	2.666179	2.338441	2.98881	2.134282	2.399915	2.7045583	0.344655895823662
65.99972	2.854667	2.756618	3.355598	2.937021	2.76716	2.719644	2.3822	3.047367	2.197099	2.447731	2.7465105	0.339049159651337
66.99986	2.909636	2.799028	3.392372	2.962423	2.790455	2.77354	2.426393	3.104727	2.251673	2.499044	2.7909291	0.335485218881697
67.99994	2.964456	2.840172	3.429485	2.989276	2.817564	2.823288	2.46508	3.161219	2.305873	2.55261	2.8349023	0.332902943997212
68.99974	3.018128	2.881377	3.466353	3.014642	2.845216	2.865135	2.503535	3.215289	2.361113	2.603599	2.8774387	0.3303484158861
69.99996	3.067713	2.921625	3.503444	3.038061	2.874402	2.90772	2.541062	3.265212	2.409662	2.64941	2.9178311	0.329103016920386
70.99975	3.111267	2.960679	3.541066	3.065844	2.906011	2.955036	2.57939	3.313783	2.462701	2.700215	2.9595992	0.326510436594742
71.99969	3.159198	2.99454	3.575265	3.092525	2.926162	2.99888	2.623377	3.360121	2.51534	2.752404	2.9997812	0.322843004527243
72.99977	3.206922	3.030089	3.608047	3.118447	2.923871	3.033511	2.668663	3.406784	2.563963	2.800943	3.036124	0.320823847629124
73.99991	3.253545	3.061305	3.635835	3.141881	2.906301	3.071867	2.714567	3.45004	2.611864	2.839649	3.0686854	0.319652112769214
74.99977	3.30248	3.094095	3.656768	3.162719	2.886519	3.108829	2.762714	3.490013	2.661582	2.874932	3.1000651	0.317865673541671
75.99989	3.347742	3.12344	3.66486	3.180907	2.889733	3.132467	2.806026	3.528509	2.711406	2.911122	3.1296212	0.312827841964519
76.99971	3.388608	3.155339	3.660859	3.190673	2.914132	3.1515	2.850902	3.564454	2.763133	2.956412	3.1596012	0.302339350832728
77.99984	3.427766	3.188821	3.666685	3.202744	2.936275	3.153851	2.897099	3.597839	2.811225	3.001382	3.1883687	0.294533995445555
78.99992	3.466665	3.216465	3.668516	3.212298	2.958796	3.132894	2.942505	3.633383	2.855619	3.047998	3.2135139	0.288236691378014
79.9998	3.506764	3.228298	3.646508	3.230155	2.98407	3.130166	2.985679	3.668799	2.901244	3.091179	3.2372862	0.278804340584655
80.9998	3.549664	3.239547	3.631667	3.241201	3.01199	3.146541	3.019504	3.703117	2.946614	3.132736	3.2622581	0.271976744597544
81.99996	3.594668	3.242061	3.633312	3.243626	3.041214	3.151479	3.032717	3.735706	2.988959	3.17145	3.2835192	0.271891546070528
82.99969	3.638473	3.248418	3.645648	3.247518	3.070231	3.173883	3.057398	3.771565	3.032577	3.204755	3.3090466	0.272671639440881
83.99979	3.676257	3.25819	3.656745	3.262683	3.098395	3.203085	3.083127	3.809118	3.072869	3.238225	3.3358694	0.273005411462117
84.99978	3.704143	3.2759	3.656587	3.278086	3.129291	3.23143	3.118449	3.842329	3.113299	3.271589	3.3621103	0.268650818080542
85.99994	3.725287	3.296064	3.664137	3.29274	3.157832	3.255863	3.156059	3.856683	3.152018	3.288201	3.3844884	0.261823258277708
86.99992	3.743483	3.321299	3.671388	3.310475	3.179062	3.282305	3.189982	3.868599	3.188209	3.306655	3.4061457	0.255035924980101
87.99982	3.773606	3.348296	3.682301	3.333755	3.189906	3.324589	3.215462	3.882658	3.223999	3.334772	3.4309344	0.251404499339743
88.99971	3.811977	3.37832	3.704606	3.351142	3.19439	3.368323	3.241336	3.884134	3.257822	3.371239	3.4563289	0.248890475390928
89.99971	3.841001	3.407114	3.733219	3.36835	3.214359	3.414626	3.259756	3.88257	3.284281	3.408259	3.4813535	0.245189944299539
90.99991	3.857213	3.433708	3.74897	3.379581	3.237747	3.457733	3.27392	3.881574	3.306773	3.44308	3.5020299	0.239511523094842
91.99992	3.881263	3.457047	3.774629	3.388428	3.259493	3.505873	3.301848	3.882697	3.316695	3.472996	3.5240969	0.237392896420657
92.99984	3.894305	3.472124	3.781814	3.374326	3.272425	3.552713	3.316585	3.885799	3.306629	3.496714	3.5353434	0.238846566996565
93.99973	3.909253	3.479511	3.745423	3.366828	3.301839	3.595016	3.340561	3.90191	3.304808	3.517536	3.5462685	0.235259431238155
94.99982	3.906974	3.499676	3.664017	3.360157	3.335195	3.635641	3.382232	3.928249	3.282876	3.540704	3.5535721	0.229736856069165
95.99974	3.925023	3.518656	3.626931	3.349345	3.36497	3.657324	3.426995	3.9801	3.271875	3.549796	3.5671015	0.237605001530435
96.99998	3.952063	3.545697	3.591993	3.372993	3.360074	3.676084	3.46741	4.009231	3.279668	3.549421	3.5804634	0.242269565185926
97.99989	3.977928	3.575041	3.924176	3.407164	3.372559	3.694399	3.505853	4.014366	3.292652	3.560041	3.6324179	0.260870776516927
98.99988	3.982936	3.620774	4.009522	3.438169	3.412071	3.721627	3.55195	4.045972	3.312264	3.573637	3.6668922	0.26478936973619
99.9998	3.984718	3.66658	5.139163	3.491694	3.433471	3.742759	3.595183	4.016295	3.337603	3.600885	3.8008351	0.518559557436527
