Time	Vely1	Vely1	Vely1	Vely1	Vely1	Vely1	Vely1	Vely1	Vely1	Vely1	MEAN	STDEV
54.99994	1.256873	1.280038	1.05378	1.346773	1.469081	1.755281	1.051661	1.10277	1.05201	1.735197	1.3103464	0.269018073706004
55.99974	1.322595	1.346485	1.102609	1.396617	1.515498	1.796987	1.073802	1.119404	1.089391	1.780579	1.3543967	0.273639599519372
56.99985	1.390873	1.412963	1.162165	1.448161	1.571963	1.821841	1.10028	1.130669	1.127315	1.818012	1.3984242	0.274488410839673
57.99971	1.463255	1.479376	1.220442	1.493796	1.624432	1.84599	1.131204	1.143401	1.169361	1.862153	1.443341	0.276225948061446
58.99978	1.517776	1.542717	1.28016	1.534259	1.678308	1.885982	1.163687	1.131247	1.21861	1.911823	1.4864569	0.284497500275076
59.99991	1.554056	1.607448	1.340788	1.576156	1.732698	1.933989	1.196205	1.1331	1.26322	1.972733	1.5310393	0.295319792901432
60.99977	1.58585	1.670434	1.401888	1.629773	1.788901	1.997501	1.228982	1.14461	1.306625	2.022907	1.5777471	0.30622945533717
61.99976	1.633548	1.732399	1.46195	1.684775	1.842996	2.059916	1.264379	1.149026	1.356914	2.073187	1.625909	0.317590290149291
62.99977	1.696082	1.795911	1.525154	1.747866	1.8961	2.113551	1.304204	1.158307	1.408569	2.106119	1.6751863	0.324096940338004
63.99974	1.759175	1.860004	1.589662	1.811462	1.945344	2.162824	1.347049	1.179919	1.459632	2.111128	1.7226199	0.324010632481731
64.99971	1.81858	1.920499	1.655965	1.865816	1.991161	2.21374	1.393622	1.200627	1.510678	2.099584	1.7670272	0.322256484695998
65.99968	1.88566	1.979418	1.721474	1.912047	2.03706	2.27039	1.43872	1.219412	1.557813	2.114723	1.8136717	0.326454885932378
66.99985	1.940397	2.039954	1.786204	1.956831	2.081503	2.325657	1.48294	1.237523	1.603595	2.15934	1.8613944	0.334090740800959
67.99973	1.990958	2.106637	1.852594	2.000407	2.125362	2.37816	1.528467	1.250023	1.654995	2.205805	1.9093408	0.342524067586433
68.99993	2.039915	2.177862	1.918348	2.043554	2.167641	2.434878	1.579653	1.269095	1.707306	2.2551	1.9593352	0.350259859966473
69.99968	2.087575	2.248731	1.984995	2.082337	2.208489	2.493956	1.635854	1.284455	1.763956	2.305174	2.0095522	0.358475734021705
70.99982	2.140237	2.321213	2.046297	2.117373	2.246617	2.553041	1.698029	1.301544	1.823284	2.356458	2.0604093	0.366100110349023
71.99981	2.202145	2.392375	2.110236	2.149324	2.286752	2.614907	1.757657	1.32046	1.879103	2.41033	2.1123289	0.375192012986669
72.99968	2.265942	2.460291	2.173225	2.181913	2.32442	2.674633	1.81041	1.333066	1.932369	2.462689	2.1618958	0.38634585888375
