Time	CMY1	CMY1	CMY1	CMY1	CMY1	CMY1	CMY1	CMY1	CMY1	CMY1	MEAN	STDEV
64.9999	64.1953	62.60585	86.00513	73.62072	74.46984	63.49532	52.23679	67.97652	43.53029	53.57349	64.170925	12.3389755247267
65.99972	66.65934	64.9643	89.01845	75.62174	74.80661	65.82201	54.1878	70.77179	45.47651	55.55628	66.288483	12.4421913858434
66.99986	69.22045	67.46002	91.97574	77.55338	76.56847	68.28671	56.36734	73.5417	47.35362	57.71453	68.604196	12.6307724980024
67.99994	71.93712	70.03192	94.96489	79.721	78.50387	70.72431	58.4764	76.35185	49.25363	60.04025	71.000524	12.8542030191686
68.99974	74.72644	72.69371	97.98122	81.97575	80.61524	73.00382	60.6647	79.20592	51.22487	62.33677	73.442844	13.0905583695588
69.99996	77.47331	75.30647	101.0853	84.22142	82.75034	75.4241	62.75893	82.04161	53.07856	64.46101	75.860105	13.3981191962382
70.99975	80.08143	78.00969	104.2994	86.6746	85.12127	78.12959	64.9249	84.81788	55.18187	66.8002	78.404083	13.6783702894363
71.99969	82.89395	80.54699	107.4881	89.1117	87.15014	80.75913	67.25469	87.58872	57.28844	69.28887	80.937073	13.9075816541866
72.99977	85.71777	83.12374	110.7268	91.65067	88.48287	83.12	69.58719	90.57616	59.2773	71.59363	83.385613	14.1804789487254
73.99991	88.5946	85.63773	113.7851	94.21328	89.13347	85.67636	71.90302	93.71188	61.35144	73.51251	85.751939	14.4427137662448
74.99977	91.5711	88.16341	116.5954	96.67371	89.62128	88.2621	74.44418	96.88262	63.46985	75.42383	88.110748	14.647084287946
75.99989	94.62215	90.52322	119.011	99.02973	90.92848	90.35316	76.80148	100.1178	65.63151	77.5753	90.459383	14.7890948049696
76.99971	97.71079	93.00484	120.8935	101.1371	93.08076	92.22932	79.24564	103.2741	67.91391	80.09657	92.858653	14.7475118491908
77.99984	100.8247	95.57581	123.127	103.3034	95.10949	93.51387	81.84285	106.3863	70.06811	82.68602	95.243755	14.8022195763107
78.99992	104.0198	98.11283	125.3023	105.4343	97.03043	93.98631	84.54193	109.6242	72.15298	85.40472	97.56098	14.8885067796517
79.9998	107.187	99.99774	126.935	107.7813	99.12082	94.9108	87.23717	112.8586	74.47634	88.07776	99.858253	14.8548468363098
80.9998	110.382	101.8746	128.5382	110.0964	101.3454	96.58114	89.63	116.1253	76.95789	90.73008	102.226101	14.8175650261816
81.99996	113.6491	103.5599	130.2947	112.0678	103.6599	97.79595	91.39094	119.3159	79.48634	93.43793	104.465846	14.878311132426
82.99969	116.9294	105.3846	132.5423	114.0726	105.9705	99.59718	93.47991	122.6458	82.23328	96.07128	106.892685	14.9806947707339
83.99979	120.0836	107.0665	134.7323	116.4024	107.9877	101.5081	95.65483	126.0087	84.86646	98.78795	109.309854	15.1063922389749
84.99978	123.0509	109.0166	136.4546	118.5942	110.0615	103.431	98.16025	129.2685	87.77244	101.64	111.744999	15.0300193139008
85.99994	125.7361	111.149	138.4618	120.8133	112.3012	104.551	100.7812	131.9874	90.69208	103.9618	114.043488	15.0004570185377
86.99992	128.2328	113.426	140.0852	123.0891	114.4995	105.622	103.3422	134.7437	93.62102	106.2799	116.294142	14.9166332929189
