Time Velx1 Vely1 Velx2 Vely2 Velx3 Vely3
1.089876e+01 8.312229e-03 3.782213e-01 -2.998597e-04 3.404905e-01 2.917922e-02 4.702355e-01
1.099875e+01 8.135301e-03 3.814031e-01 -6.250029e-04 3.439454e-01 2.933209e-02 4.726028e-01
1.109870e+01 7.950878e-03 3.845634e-01 -8.879010e-04 3.473354e-01 2.935388e-02 4.751091e-01
1.119862e+01 7.746662e-03 3.876039e-01 -1.145926e-03 3.505755e-01 2.928265e-02 4.774416e-01
1.129851e+01 7.537385e-03 3.906997e-01 -1.366913e-03 3.539982e-01 2.910611e-02 4.796126e-01
1.139835e+01 7.307088e-03 3.937979e-01 -1.560296e-03 3.573525e-01 2.878805e-02 4.819434e-01
1.149809e+01 7.111306e-03 3.968216e-01 -1.727377e-03 3.605836e-01 2.842128e-02 4.842519e-01
1.159774e+01 6.902224e-03 3.999635e-01 -1.833957e-03 3.639820e-01 2.792598e-02 4.866145e-01
1.169729e+01 6.678930e-03 4.029814e-01 -1.944321e-03 3.672647e-01 2.732202e-02 4.887316e-01
1.179968e+01 6.453329e-03 4.060219e-01 -2.009342e-03 3.706728e-01 2.661267e-02 4.906581e-01
1.189906e+01 6.191269e-03 4.089769e-01 -2.075704e-03 3.740292e-01 2.579679e-02 4.924435e-01
1.199835e+01 5.960768e-03 4.118616e-01 -2.130361e-03 3.772888e-01 2.494916e-02 4.941722e-01
1.209756e+01 5.672695e-03 4.148095e-01 -2.181707e-03 3.806276e-01 2.400929e-02 4.960037e-01
1.219973e+01 5.396712e-03 4.179329e-01 -2.266210e-03 3.840208e-01 2.308156e-02 4.982275e-01
1.229917e+01 5.121704e-03 4.209101e-01 -2.303913e-03 3.872877e-01 2.215509e-02 5.004020e-01
1.239865e+01 4.811481e-03 4.239946e-01 -2.400333e-03 3.906413e-01 2.124034e-02 5.025870e-01
1.249821e+01 4.523512e-03 4.270018e-01 -2.486545e-03 3.939106e-01 2.032902e-02 5.047803e-01
1.259792e+01 4.207496e-03 4.300202e-01 -2.581508e-03 3.972053e-01 1.942290e-02 5.069636e-01
1.269768e+01 3.899225e-03 4.329635e-01 -2.712193e-03 4.004923e-01 1.852081e-02 5.087954e-01
1.279744e+01 3.519457e-03 4.357774e-01 -2.836168e-03 4.036860e-01 1.752622e-02 5.105491e-01
1.289743e+01 3.131432e-03 4.386575e-01 -3.009934e-03 4.070127e-01 1.649681e-02 5.120208e-01
1.299758e+01 2.743456e-03 4.414630e-01 -3.145381e-03 4.102043e-01 1.547162e-02 5.137550e-01
1.309787e+01 2.390401e-03 4.443852e-01 -3.298307e-03 4.135080e-01 1.453244e-02 5.155045e-01
1.319832e+01 2.006231e-03 4.472718e-01 -3.446759e-03 4.167600e-01 1.355201e-02 5.173764e-01
1.329892e+01 1.629763e-03 4.501863e-01 -3.602858e-03 4.200016e-01 1.257392e-02 5.192944e-01
1.339952e+01 1.224307e-03 4.531419e-01 -3.753740e-03 4.232802e-01 1.151955e-02 5.213574e-01
1.349725e+01 8.126673e-04 4.559582e-01 -3.913903e-03 4.264187e-01 1.046454e-02 5.232518e-01
1.359812e+01 3.598903e-04 4.588880e-01 -4.080792e-03 4.296970e-01 9.304782e-03 5.252397e-01
1.369898e+01 -1.047294e-04 4.617828e-01 -4.271164e-03 4.329156e-01 8.170036e-03 5.271760e-01
1.379973e+01 -5.906635e-04 4.647187e-01 -4.465293e-03 4.362148e-01 6.968280e-03 5.291757e-01
1.389741e+01 -1.053562e-03 4.675200e-01 -4.654726e-03 4.393414e-01 5.849796e-03 5.310385e-01
1.399797e+01 -1.559280e-03 4.704663e-01 -4.875357e-03 4.426487e-01 4.640768e-03 5.330845e-01
1.409845e+01 -2.082548e-03 4.733560e-01 -5.123911e-03 4.458537e-01 3.479518e-03 5.350661e-01
1.419887e+01 -2.638783e-03 4.763182e-01 -5.405884e-03 4.491662e-01 2.277107e-03 5.371552e-01
1.429923e+01 -3.197549e-03 4.791728e-01 -5.715445e-03 4.523181e-01 1.129848e-03 5.391495e-01
1.439954e+01 -3.776848e-03 4.820155e-01 -6.045371e-03 4.554650e-01 -1.260648e-05 5.412165e-01
1.449980e+01 -4.348294e-03 4.848193e-01 -6.404506e-03 4.585268e-01 -1.113557e-03 5.431989e-01
1.459707e+01 -4.957802e-03 4.875828e-01 -6.780413e-03 4.616151e-01 -2.191573e-03 5.450977e-01
1.469724e+01 -5.567992e-03 4.903463e-01 -7.200551e-03 4.647250e-01 -3.307922e-03 5.468474e-01
